"Step","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/saw/train","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/sin/train","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/square/train","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/triangle/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/saw/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/sin/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/square/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/triangle/train"
"1780","undefined","undefined","undefined","undefined","-2.023475444316864","-1.9552363634109498","-1.5104977905750274","-1.8429733633995056"
"1790","undefined","undefined","undefined","undefined","-2.019468092918396","-1.977629268169403","-1.3662372350692749","-1.687073278427124"
"1800","undefined","undefined","undefined","undefined","-2.076960051059723","-1.9188852667808534","-1.3707070291042327","-1.7043968319892884"
"1810","undefined","undefined","undefined","undefined","-2.0221704840660095","-1.9865432620048522","-1.4031319737434387","-1.6943348169326782"
"1820","undefined","undefined","undefined","undefined","-2.0163307905197145","-1.9285223484039307","-1.4801682114601136","-1.8150630593299866"
"1830","undefined","undefined","undefined","undefined","-2.0318520784378054","-1.977621579170227","-1.4336730420589447","-1.8736299276351929"
"1840","undefined","undefined","undefined","undefined","-1.9661542654037476","-1.8951733708381653","-1.492983627319336","-1.558177375793457"
"1850","undefined","undefined","undefined","undefined","-2.0805187821388245","-1.9199818134307862","-1.3896438837051392","-1.605171024799347"
"1860","undefined","undefined","undefined","undefined","-2.008986401557922","-1.998437798023224","-1.340706968307495","-1.687158715724945"
"1870","undefined","undefined","undefined","undefined","-2.0003871083259583","-2.0024890184402464","-1.243161392211914","-1.7218027114868164"
"1880","undefined","undefined","undefined","undefined","-2.082037591934204","-1.9771576046943664","-1.4145958185195924","-1.7259387493133544"
"1890","undefined","undefined","undefined","undefined","-2.0678593277931214","-1.9490750432014465","-1.4065096139907838","-1.6497637987136842"
"1900","undefined","undefined","undefined","undefined","-2.037575125694275","-1.9726453185081483","-1.4962453722953797","-1.7219722270965576"
"1910","undefined","undefined","undefined","undefined","-2.125965118408203","-1.9742077589035034","-1.3380070626735687","-1.7652378678321838"
"1920","undefined","undefined","undefined","undefined","-2.0363084435462953","-1.9804698944091796","-1.4276557922363282","-1.6476375579833984"
"1930","undefined","undefined","undefined","undefined","-2.055325376987457","-1.9922273755073547","-1.4757953763008118","-1.735058879852295"
"1940","undefined","undefined","undefined","undefined","-2.062902092933655","-2.040392589569092","-1.345353364944458","-1.7547712206840516"
"1950","undefined","undefined","undefined","undefined","-2.071173882484436","-1.9481568098068238","-1.3986032724380493","-1.7328400254249572"
"1960","undefined","undefined","undefined","undefined","-2.073387312889099","-1.9887904286384583","-1.4342026710510254","-1.731031882762909"
"1970","undefined","undefined","undefined","undefined","-1.992323637008667","-2.0088360786437987","-1.3987761676311492","-1.6401792287826538"
"1980","undefined","undefined","undefined","undefined","-2.0866506576538084","-1.9915899276733398","-1.264558333158493","-1.804234230518341"
"1990","undefined","undefined","undefined","undefined","-2.073318660259247","-2.0109429955482483","-1.3994895219802856","-1.8127440810203552"
"2000","undefined","undefined","undefined","undefined","-2.0202250719070434","-1.9954870104789735","-1.43670996427536","-1.7738052368164063"
"2010","undefined","undefined","undefined","undefined","-2.060891938209534","-1.947486674785614","-1.4378739833831786","-1.9201167106628418"
"2020","undefined","undefined","undefined","undefined","-2.0686646103858948","-1.9988248586654662","-1.2883048176765441","-1.759696853160858"
"2030","undefined","undefined","undefined","undefined","-2.082157027721405","-1.9888497710227966","-1.3491577625274658","-1.7328560113906861"
